step,drift_score
1600,6.45908025594858e-07
3200,1.5308077518756572e-06
4800,8.745835377619817e-07
6400,7.439118165236253e-07
8000,1.2820729842552771e-06
9600,1.1691680321326623e-06
11200,7.358881143423227e-07
12800,9.63417383340689e-07
14400,9.46796857393705e-07
16000,8.688523219181941e-07
17600,4.894458330594576e-07
19200,7.645441935612605e-07
20800,1.137073223407452e-06
22400,8.012239749615009e-07
24000,6.596629436199481e-07
25600,1.0253145144535945e-06
27200,1.3519938175494854e-06
28800,1.115867724785438e-06
30400,1.1926660170921912e-06
32000,6.183981895446777e-07
33600,8.476468232961802e-07
35200,1.0906503750727727e-06
36800,9.08970832824707e-07
38400,1.0488124994131235e-06
40000,4.3442616095909705e-07
41600,1.7417164949270395e-06
43200,5.874496239882249e-07
44800,9.995240431565505e-07
46400,6.189713111290565e-07
48000,1.8637913923997146e-06
49600,1.367468100327712e-06
51200,5.891689887413612e-07
52800,5.817184081444374e-07
54400,1.3135946713961089e-06
56000,6.585167004511907e-07
57600,8.184176224928635e-07
59200,8.029433397146372e-07
60800,1.6494439198420598e-06
62400,8.625479844900278e-07
64000,1.0872116455665002e-06
65600,9.307494530310997e-07
67200,1.4184759213374211e-06
68800,7.272912905766414e-07
70400,7.748603820800781e-07
72000,8.218563519991361e-07
73600,9.525280732374924e-07
75200,9.743066934438852e-07
76800,9.370537904592661e-07
78400,8.694254435025729e-07
80000,8.298800541804387e-07
81600,6.550779709449181e-07
83200,7.186944668109601e-07
84800,5.765603138850286e-07
86400,1.052251228919396e-06
88000,6.602360652043269e-07
89600,1.2058478135329026e-06
91200,1.0963815909165603e-06
92800,6.052163931039663e-07
94400,8.757297809307391e-07
96000,9.101170759934646e-07
97600,9.129826839153583e-07
99200,5.398805324847882e-07
100800,1.0098402316753682e-06
102400,1.6838312149047852e-06
104000,8.510855528024526e-07
105600,1.263733093555157e-06
107200,9.5367431640625e-07
108800,9.158482918372521e-07
110400,4.0748944649329553e-07
112000,9.238719940185547e-07
