step,drift_score
0,6.562441735718381e-07
32,6.909127259135839e-05
64,4.4528228133472045e-05
96,3.886282147459723e-05
128,4.7098937912366874e-05
160,9.058482611357276e-05
192,0.00015280199288135736
224,0.0001453244270969979
256,0.00010971317243813282
288,3.318496011382905e-05
320,6.873542396583367e-05
352,4.733498416729827e-05
384,1.594557690976271e-05
416,4.003949426299897e-05
448,3.454756380906745e-05
480,2.643243590397621e-05
512,3.513234171701308e-05
544,4.112364640876428e-05
576,3.5871913777061954e-05
608,1.332653102590077e-05
640,1.0059840643583839e-05
672,7.477565784359453e-06
704,1.2671769554935285e-05
736,1.069799584535817e-05
768,6.826659340170485e-06
800,6.365835370115973e-06
832,8.613019440304581e-06
864,1.361387879101198e-05
896,1.0965475395544251e-05
928,1.4531671704344488e-05
960,1.477424185074384e-05
992,1.6658163782375962e-05
1024,9.63608423868815e-06
1056,2.0583470662434895e-05
1088,1.2672659176499095e-05
1120,1.3077436988033465e-05
1152,8.735787216110609e-06
1184,5.343660193296214e-06
1216,5.957499072326357e-06
1248,6.985901600092798e-06
1280,1.001595264643579e-05
1312,1.373130883743514e-05
1344,1.1111966413051927e-05
1376,1.5450947320283347e-05
1408,1.0166002150198714e-05
1440,4.894697844092526e-06
1472,4.027909900418561e-06
1504,7.909328783329446e-06
1536,5.438553160102806e-06
1568,2.1256024564676618e-06
1600,3.051698504395746e-06
1632,2.1988479652215e-06
1664,5.266559657765859e-06
1696,2.9313030527598824e-06
1728,3.6735439775001944e-06
1760,5.292655223637671e-06
1792,2.8933458660372454e-06
1824,4.6921606680647055e-06
1856,4.2120615641276044e-06
1888,4.509788247483286e-06
1920,6.815687340883473e-06
1952,7.65371085399419e-06
1984,5.098717722726699e-06
2016,1.667743891625855e-06
2048,7.803760357757113e-06
2080,3.2011549271161282e-06
2112,4.208503077872357e-06
2144,4.714401207160001e-06
2176,1.8385512318777208e-06
2208,3.821517697614224e-06
2240,3.9973662267276895e-06
2272,4.481023816920039e-06
2304,3.4211879938989136e-06
2336,5.953347505028568e-06
2368,7.617829450920446e-06
2400,5.527515316483986e-06
2432,7.044616623304376e-06
2464,9.011866441413537e-06
2496,5.467910671708596e-06
2528,5.46020061815556e-06
2560,3.7023084080634425e-06
2592,2.7732469549226525e-06
2624,4.760068447435673e-06
2656,3.754499539807068e-06
2688,3.3944993469845596e-06
2720,2.826920789272631e-06
2752,5.190348743799314e-06
2784,6.791964099181826e-06
2816,4.158387729777626e-06
2848,6.625011785706477e-06
2880,5.579706448227612e-06
2912,5.958092153368898e-06
2944,5.286131332169718e-06
2976,4.730117854787343e-06
3008,4.757103042222967e-06
3040,4.519277544163946e-06
3072,4.795060228945604e-06
3104,3.016113641843274e-06
3136,7.394534438403685e-06
3168,8.449922153605751e-06
3200,8.754765809471927e-06
3232,6.947944413370161e-06
3264,6.144912681769376e-06
3296,5.340101707040967e-06
3328,5.100200425333052e-06
3360,5.699212278299664e-06
3392,4.233709022180358e-06
3424,2.7065253376367673e-06
3456,1.2481390540279559e-06
3488,2.270017690326444e-06
3520,4.385241228549635e-06
3552,2.81150068216656e-06
3584,4.733972881563861e-06
3616,2.489754216587959e-06
3648,3.747975648339115e-06
3680,5.840365566424469e-06
3712,5.349591003721626e-06
3744,3.836641264199024e-06
3776,1.756112966964494e-06
3808,2.4046470869832966e-06
3840,3.767250782221704e-06
3872,3.5682720924491314e-06
3904,2.916772567217623e-06
3936,2.0642185685646475e-06
3968,3.1285024994048314e-06
4000,2.2065580187745355e-06
4032,2.7287658767320625e-06
4064,2.9630328885358366e-06
4096,2.2510390969651255e-06
4128,3.0677116925443584e-06
4160,4.919310707357985e-06
4192,6.0503162554840545e-06
4224,4.690974505979623e-06
4256,4.06201206036468e-06
4288,7.884715920063986e-06
4320,6.500761307294096e-06
4352,5.211996201852068e-06
4384,6.035192688899253e-06
4416,7.1946661270673005e-06
4448,5.379245055848686e-06
4480,7.961223374551802e-06
4512,7.027417273070682e-06
4544,6.35960801916929e-06
4576,4.463527926165073e-06
4608,3.4769376118977866e-06
4640,2.5766405893202443e-06
4672,2.5188151876724773e-06
4704,1.807117936623037e-06
4736,1.1941686791567067e-06
4768,1.3762445592168553e-06
4800,2.1276782401165558e-06
4832,2.853609436186985e-06
4864,3.572127119225649e-06
4896,4.677333642001176e-06
4928,4.073280600172964e-06
4960,4.409854091815094e-06
4992,9.395886416458966e-06
5024,8.196676548440659e-06
5056,6.3290643454784184e-06
5088,7.220168611896572e-06
5120,6.234171378671826e-06
5152,4.883429304284243e-06
5184,2.9461300788234123e-06
5216,2.283362013783621e-06
5248,2.4052401680258378e-06
5280,7.016148733262399e-07
5312,8.039213531645969e-07
5344,7.280069797193233e-07
5376,1.5227355767245316e-06
5408,1.5864917887977107e-06
5440,2.2213850448380654e-06
5472,2.8444166800275965e-06
5504,2.1644492647541104e-06
5536,5.154467340725571e-06
5568,4.760661528478215e-06
5600,2.513477458289607e-06
5632,2.2697211498051734e-06
5664,6.637763028121113e-06
5696,4.8736434670823134e-06
5728,4.7630338526483795e-06
5760,4.366559175709587e-06
5792,2.9043178653242575e-06
5824,2.9624398074932953e-06
5856,2.8850427314416684e-06
5888,2.122340510733685e-06
5920,1.8166072333036964e-06
5952,1.3854373153762438e-06
5984,5.471172617442572e-07
6016,1.7329828063053872e-06
6048,2.154959968073451e-06
6080,2.6092600466600105e-06
6112,2.5962122637241043e-06
6144,2.323988065197693e-06
6176,3.3663279974638527e-06
6208,2.3566075225374593e-06
6240,3.6913364087764303e-06
6272,3.7574649450197742e-06
6304,2.9995073726521204e-06
6336,1.6155527598822294e-06
6368,2.379144602154025e-06
6400,3.3064268121671913e-06
6432,2.4621759481097927e-06
6464,2.5831644807881976e-06
6496,3.814697265625e-06
6528,2.5962122637241043e-06
6560,1.4901161193847656e-06
6592,1.6908740522849619e-06
6624,1.485371471044436e-06
6656,1.5939053018294756e-06
6688,1.1149923599774564e-06
6720,2.1908413711471937e-06
6752,1.9951246271085975e-06
6784,2.8963112712499514e-06
6816,4.401254416698247e-06
6848,3.961484823653947e-06
6880,3.717728515169514e-06
6912,2.8903804608245393e-06
6944,3.4546970728024914e-06
6976,2.0060966263956097e-06
7008,1.4761787148850474e-06
7040,1.7163765371142335e-06
7072,8.273480543449743e-07
7104,1.9381888470246425e-06
7136,1.9322580365992304e-06
7168,1.8136418280909904e-06
7200,2.3542351983672945e-06
7232,1.9936419245022447e-06
7264,2.751302956348628e-06
7296,3.5925884151933206e-06
7328,2.4856026492901703e-06
7360,2.166228507881734e-06
7392,3.608601603341933e-06
7424,1.6028015174675938e-06
7456,2.373806872771154e-06
7488,3.153115362670291e-06
7520,2.3299188756231053e-06
