step,drift_score
1600,0.00011914968490600586
3200,7.238410986386813e-05
4800,3.900436254648062e-05
6400,2.884406309861403e-05
8000,2.4305513271918662e-05
9600,9.965438109177809e-06
11200,1.4287347976978008e-05
12800,1.1825790772071252e-05
14400,6.6596728104811446e-06
16000,9.625003888056828e-06
17600,3.779736848977896e-06
19200,6.115207305321326e-06
20800,3.2100539941054126e-06
22400,3.619835926936223e-06
24000,3.4759824092571553e-06
25600,4.780407135303204e-06
27200,6.7112537530752325e-06
28800,2.012803004338191e-06
30400,1.961795183328482e-06
32000,2.4512410163879395e-06
33600,2.355529711796687e-06
35200,2.2993637965275693e-06
36800,1.754898291367751e-06
38400,1.8878624989436223e-06
40000,2.098198120410626e-06
41600,1.8362815563495342e-06
43200,1.960648940159724e-06
44800,1.3198990088242751e-06
46400,2.8054301555340107e-06
48000,3.4347176551818848e-06
49600,2.412841870234563e-06
51200,1.4626062833345854e-06
52800,1.9382971983689527e-06
54400,2.0380203540508564e-06
56000,2.0443246914790225e-06
57600,1.0178639338566707e-06
59200,2.6231774917015664e-06
60800,1.8809850399310772e-06
62400,2.746398632342999e-06
64000,1.8150760577275203e-06
65600,1.3915392068716196e-06
67200,2.0655301901010366e-06
68800,2.0775657433729907e-06
70400,9.662829912625825e-07
72000,2.046044056232159e-06
73600,1.3989897874685435e-06
75200,3.3086309066185586e-06
76800,2.9532955243037295e-06
78400,2.150925306173471e-06
80000,1.3428238721994253e-06
81600,1.3078634555523213e-06
83200,1.9130798486562876e-06
84800,1.613910381610577e-06
86400,2.0638108253479004e-06
88000,9.897809762221116e-07
89600,1.4998591863192046e-06
91200,1.2717567957364595e-06
92800,1.0654330253601074e-06
94400,9.353344257061298e-07
96000,1.2866579569303071e-06
97600,1.932565982525165e-06
99200,1.3863811126122107e-06
100800,1.416756556584285e-06
102400,1.616202867948092e-06
104000,1.876973188840426e-06
105600,1.5858274239760178e-06
107200,1.764068236717811e-06
108800,2.494225135216346e-06
110400,8.900578205402081e-07
112000,1.4603137969970703e-06
113600,1.0230220281160796e-06
115200,1.2740492820739746e-06
116800,1.3823692615215596e-06
118400,2.0724076491135816e-06
120000,2.663296002608079e-06
121600,1.7910049511836125e-06
123200,1.1445238040043757e-06
124800,1.9084948759812573e-06
126400,2.407683775975154e-06
128000,2.184739479651818e-06
129600,1.411598462324876e-06
131200,1.1032590499291052e-06
132800,1.2247608258174016e-06
134400,1.1726067616389348e-06
136000,1.9938899920536924e-06
137600,1.1514012630169209e-06
139200,2.286182000086858e-06
140800,2.9446987005380483e-06
142400,2.3899170068594126e-06
144000,1.075749213878925e-06
145600,1.6173491111168494e-06
147200,1.3021322397085337e-06
148800,6.447617824261005e-07
150400,1.5852543023916392e-06
152000,9.765991797814002e-07
153600,1.6947205250079815e-06
155200,1.632823393895076e-06
156800,1.3777842888465295e-06
158400,8.293069325960599e-07
160000,1.2138715157142053e-06
161600,1.3840886262746958e-06
163200,9.433581278874324e-07
164800,2.961892348069411e-06
166400,1.9274078882657564e-06
168000,1.832269705258883e-06
169600,1.6408470960763784e-06
171200,7.977852454552284e-07
172800,1.2276264337392954e-06
174400,1.5583175879258376e-06
176000,1.3892467205341045e-06
177600,1.3548594254713792e-06
179200,1.9010442953843337e-06
180800,1.4528632164001465e-06
182400,1.033338216634897e-06
184000,1.0671523901132437e-06
185600,9.708679639376128e-07
187200,5.673903685349685e-07
188800,7.719947741581843e-07
190400,1.7480208323552058e-06
192000,8.184176224928635e-07
193600,1.6442858255826509e-06
195200,1.1319151291480432e-06
196800,8.952159147996169e-07
198400,1.3485550880432129e-06
200000,1.0929428614102876e-06
201600,8.31599418933575e-07
203200,1.5778037217947153e-06
204800,8.419156074523926e-07
206400,2.3796008183405948e-06
208000,9.920734625596267e-07
209600,1.3164602793180025e-06
211200,1.1829229501577524e-06
212800,1.2035553271953877e-06
214400,1.9549177243159366e-06
216000,9.737335718595064e-07
217600,8.522317959712102e-07
219200,1.1038321715134841e-06
220800,1.2751955252427322e-06
222400,1.2350770143362192e-06
224000,8.83180361527663e-07
225600,9.77172301365779e-07
227200,1.564621925354004e-06
228800,1.2665987014770508e-06
230400,1.3582981549776518e-06
232000,1.4368158120375413e-06
233600,9.502355868999774e-07
235200,7.519355187049279e-07
236800,1.2568556345426118e-06
238400,1.6803924853985127e-06
240000,5.570741800161509e-07
241600,6.539317277761606e-07
243200,9.605517754187952e-07
244800,1.148535655095027e-06
246400,1.4064403680654673e-06
248000,1.1588518436138447e-06
249600,1.318179644071139e-06
251200,8.035164612990159e-07
252800,1.1181602111229529e-06
254400,1.4156103134155273e-06
256000,9.77172301365779e-07
257600,6.590898220355695e-07
259200,2.1010637283325195e-06
260800,1.2064209351172815e-06
262400,1.1869348012484038e-06
264000,9.496624653155987e-07
265600,9.909272193908691e-07
267200,1.2723299173208384e-06
268800,1.2115790293766902e-06
270400,1.1800573422358586e-06
272000,1.1021128067603479e-06
273600,6.447617824261005e-07
275200,7.616785856393667e-07
276800,8.568167686462402e-07
278400,9.668561128469614e-07
280000,1.3537131823026216e-06
281600,1.287231078514686e-06
283200,1.2580018777113694e-06
284800,1.0958084693321814e-06
286400,1.3325076836806077e-06
288000,9.318956961998573e-07
289600,9.370537904592661e-07
291200,9.6742923443134e-07
292800,1.2476856891925518e-06
294400,7.639710719768817e-07
296000,1.381223018352802e-06
297600,7.255719258235051e-07
299200,8.797416320213905e-07
300800,1.174326126392071e-06
302400,6.688328889700083e-07
304000,1.7841274921710674e-06
305600,1.3932585716247559e-06
307200,1.0327650950505183e-06
308800,8.012239749615009e-07
310400,1.1473894119262695e-06
312000,1.409305975987361e-06
313600,1.3044247260460486e-06
315200,8.952159147996169e-07
316800,9.204332645122821e-07
318400,1.106697779435378e-06
320000,9.324688177842361e-07
321600,1.1938122602609487e-06
323200,9.972315568190354e-07
324800,1.6225072053762583e-06
326400,1.3021322397085337e-06
328000,6.722716184762808e-07
329600,8.350381484398475e-07
331200,1.4179027997530425e-06
332800,2.5670115764324482e-06
334400,9.88634733053354e-07
336000,9.416387631342961e-07
337600,5.868765024038462e-07
339200,1.115867724785438e-06
340800,9.508087084843562e-07
342400,9.651367480938252e-07
344000,4.082918167114258e-06
345600,1.350847574380728e-06
347200,9.232988724341759e-07
348800,9.009471306434044e-07
350400,1.4786536876971904e-06
352000,1.0092671100909893e-06
353600,1.2803536195021409e-06
355200,1.1846423149108887e-06
356800,8.636942276587853e-07
358400,8.556705254774827e-07
360000,1.235650135920598e-06
361600,6.716984968919021e-07
363200,1.1628636947044959e-06
364800,1.3170334009023813e-06
366400,4.802758877093976e-07
368000,7.490699107830341e-07
369600,1.3021322397085337e-06
371200,8.12686406649076e-07
372800,9.960853136502778e-07
374400,9.863422467158391e-07
376000,7.083782782921425e-07
377600,1.1880810444171611e-06
379200,8.774491456838755e-07
380800,1.2837923490084136e-06
382400,9.909272193908691e-07
384000,9.714410855219915e-07
385600,1.2929622943584736e-06
387200,7.35314992757944e-07
388800,1.1044052930978628e-06
390400,8.785953888526329e-07
392000,8.894846989558293e-07
393600,8.791685104370117e-07
395200,9.238719940185547e-07
396800,8.098207987271822e-07
398400,7.622517072237455e-07
400000,7.782991115863507e-07
401600,4.802758877093976e-07
403200,1.9652339128347544e-06
404800,5.335761950566218e-07
406400,1.3892467205341045e-06
408000,9.565399243281438e-07
409600,6.648210378793569e-07
411200,6.384574449979342e-07
411296,1.686696822826679e-06
